Game,Winner,Moves,FinalScore
1,B,63,"FinalCount => B:14, W:11"
2,B,68,"FinalCount => B:13, W:12"
3,B,68,"FinalCount => B:13, W:12"
4,W,62,"FinalCount => B:11, W:14"
5,W,62,"FinalCount => B:11, W:14"
6,W,66,"FinalCount => B:12, W:13"
7,W,62,"FinalCount => B:11, W:14"
8,B,61,"FinalCount => B:15, W:10"
9,W,62,"FinalCount => B:10, W:15"
10,W,62,"FinalCount => B:11, W:14"
11,B,71,"FinalCount => B:13, W:12"
12,W,62,"FinalCount => B:11, W:14"
13,W,62,"FinalCount => B:11, W:14"
14,W,62,"FinalCount => B:11, W:14"
15,W,62,"FinalCount => B:11, W:14"
16,B,63,"FinalCount => B:13, W:12"
17,B,68,"FinalCount => B:13, W:12"
18,W,62,"FinalCount => B:11, W:14"
19,W,63,"FinalCount => B:12, W:13"
20,B,55,"FinalCount => B:14, W:11"
21,B,71,"FinalCount => B:13, W:12"
22,W,66,"FinalCount => B:12, W:13"
23,W,87,"FinalCount => B:12, W:13"
24,B,63,"FinalCount => B:14, W:11"
25,W,66,"FinalCount => B:12, W:13"
26,W,66,"FinalCount => B:12, W:13"
27,W,62,"FinalCount => B:10, W:15"
28,W,62,"FinalCount => B:11, W:14"
29,W,66,"FinalCount => B:12, W:13"
30,W,66,"FinalCount => B:12, W:13"
31,W,66,"FinalCount => B:12, W:13"
32,W,63,"FinalCount => B:12, W:13"
33,B,71,"FinalCount => B:13, W:12"
34,W,62,"FinalCount => B:11, W:14"
35,W,87,"FinalCount => B:12, W:13"
36,B,63,"FinalCount => B:14, W:11"
37,B,61,"FinalCount => B:14, W:11"
38,W,66,"FinalCount => B:12, W:13"
39,B,61,"FinalCount => B:14, W:11"
40,B,61,"FinalCount => B:15, W:10"
41,W,62,"FinalCount => B:10, W:15"
42,W,62,"FinalCount => B:10, W:15"
43,B,61,"FinalCount => B:14, W:11"
44,W,62,"FinalCount => B:11, W:14"
45,W,66,"FinalCount => B:12, W:13"
46,W,62,"FinalCount => B:10, W:15"
47,W,62,"FinalCount => B:11, W:14"
48,B,68,"FinalCount => B:13, W:12"
49,B,63,"FinalCount => B:14, W:11"
50,W,66,"FinalCount => B:12, W:13"
51,W,62,"FinalCount => B:11, W:14"
52,B,71,"FinalCount => B:13, W:12"
53,W,62,"FinalCount => B:11, W:14"
54,B,68,"FinalCount => B:13, W:12"
55,W,62,"FinalCount => B:11, W:14"
56,W,63,"FinalCount => B:12, W:13"
57,W,62,"FinalCount => B:11, W:14"
58,B,63,"FinalCount => B:13, W:12"
59,B,61,"FinalCount => B:14, W:11"
60,W,62,"FinalCount => B:12, W:13"
61,B,68,"FinalCount => B:13, W:12"
62,B,61,"FinalCount => B:15, W:10"
63,B,68,"FinalCount => B:13, W:12"
64,B,68,"FinalCount => B:13, W:12"
65,W,62,"FinalCount => B:12, W:13"
66,W,62,"FinalCount => B:11, W:14"
67,W,62,"FinalCount => B:12, W:13"
68,B,68,"FinalCount => B:13, W:12"
69,B,68,"FinalCount => B:13, W:12"
70,B,61,"FinalCount => B:15, W:10"
71,W,66,"FinalCount => B:12, W:13"
72,B,61,"FinalCount => B:15, W:10"
73,B,63,"FinalCount => B:14, W:11"
74,W,66,"FinalCount => B:12, W:13"
75,W,62,"FinalCount => B:11, W:14"
76,B,61,"FinalCount => B:14, W:11"
77,W,62,"FinalCount => B:11, W:14"
78,B,61,"FinalCount => B:14, W:11"
79,B,63,"FinalCount => B:14, W:11"
80,W,62,"FinalCount => B:11, W:14"
81,B,71,"FinalCount => B:13, W:12"
82,W,66,"FinalCount => B:12, W:13"
83,W,62,"FinalCount => B:11, W:14"
84,B,63,"FinalCount => B:14, W:11"
85,W,66,"FinalCount => B:12, W:13"
86,W,63,"FinalCount => B:12, W:13"
87,B,71,"FinalCount => B:13, W:12"
88,B,68,"FinalCount => B:13, W:12"
89,B,61,"FinalCount => B:15, W:10"
90,W,62,"FinalCount => B:11, W:14"
91,W,62,"FinalCount => B:11, W:14"
92,W,87,"FinalCount => B:12, W:13"
93,W,87,"FinalCount => B:12, W:13"
94,B,68,"FinalCount => B:13, W:12"
95,B,55,"FinalCount => B:14, W:11"
96,B,71,"FinalCount => B:13, W:12"
97,B,61,"FinalCount => B:15, W:10"
98,W,66,"FinalCount => B:12, W:13"
99,B,61,"FinalCount => B:14, W:11"
100,W,66,"FinalCount => B:12, W:13"
101,W,62,"FinalCount => B:11, W:14"
102,W,62,"FinalCount => B:11, W:14"
