Game,Winner,Moves,FinalScore
1,B,84,"FinalCount => B:13, W:12"
2,B,84,"FinalCount => B:15, W:10"
3,B,84,"FinalCount => B:13, W:12"
4,W,55,"FinalCount => B:12, W:13"
5,B,96,"FinalCount => B:13, W:12"
6,B,84,"FinalCount => B:13, W:12"
7,W,80,"FinalCount => B:11, W:14"
8,W,76,"FinalCount => B:12, W:13"
9,W,80,"FinalCount => B:11, W:14"
10,B,57,"FinalCount => B:13, W:12"
11,B,89,"FinalCount => B:15, W:10"
12,W,55,"FinalCount => B:12, W:13"
13,B,84,"FinalCount => B:13, W:12"
14,W,55,"FinalCount => B:12, W:13"
15,B,89,"FinalCount => B:15, W:10"
16,W,84,"FinalCount => B:11, W:14"
17,B,84,"FinalCount => B:13, W:12"
18,B,113,"FinalCount => B:17, W:8"
19,W,55,"FinalCount => B:12, W:13"
20,W,80,"FinalCount => B:12, W:13"
21,B,84,"FinalCount => B:13, W:12"
22,B,96,"FinalCount => B:13, W:12"
23,B,83,"FinalCount => B:13, W:12"
24,W,84,"FinalCount => B:11, W:14"
25,B,96,"FinalCount => B:13, W:12"
26,B,83,"FinalCount => B:13, W:12"
27,B,84,"FinalCount => B:13, W:12"
28,B,84,"FinalCount => B:13, W:12"
29,W,55,"FinalCount => B:12, W:13"
30,B,83,"FinalCount => B:13, W:12"
31,W,55,"FinalCount => B:12, W:13"
32,B,84,"FinalCount => B:13, W:12"
33,B,84,"FinalCount => B:13, W:12"
34,W,55,"FinalCount => B:12, W:13"
35,W,80,"FinalCount => B:11, W:14"
36,B,96,"FinalCount => B:13, W:12"
37,B,83,"FinalCount => B:15, W:10"
38,B,89,"FinalCount => B:15, W:10"
39,W,55,"FinalCount => B:12, W:13"
40,W,76,"FinalCount => B:12, W:13"
41,B,84,"FinalCount => B:13, W:12"
42,W,55,"FinalCount => B:12, W:13"
43,B,84,"FinalCount => B:13, W:12"
44,W,80,"FinalCount => B:11, W:14"
45,W,76,"FinalCount => B:12, W:13"
46,W,55,"FinalCount => B:12, W:13"
47,W,55,"FinalCount => B:12, W:13"
48,B,96,"FinalCount => B:13, W:12"
49,B,96,"FinalCount => B:13, W:12"
50,W,80,"FinalCount => B:11, W:14"
51,W,80,"FinalCount => B:11, W:14"
52,B,80,"FinalCount => B:14, W:11"
53,B,83,"FinalCount => B:15, W:10"
54,B,84,"FinalCount => B:13, W:12"
55,W,80,"FinalCount => B:11, W:14"
56,W,80,"FinalCount => B:11, W:14"
57,W,55,"FinalCount => B:12, W:13"
58,B,84,"FinalCount => B:13, W:12"
59,W,55,"FinalCount => B:12, W:13"
60,W,80,"FinalCount => B:11, W:14"
61,W,55,"FinalCount => B:12, W:13"
62,B,84,"FinalCount => B:13, W:12"
63,W,80,"FinalCount => B:11, W:14"
64,W,55,"FinalCount => B:12, W:13"
65,W,55,"FinalCount => B:12, W:13"
66,B,57,"FinalCount => B:13, W:12"
67,W,80,"FinalCount => B:11, W:14"
68,W,55,"FinalCount => B:12, W:13"
69,B,59,"FinalCount => B:13, W:12"
70,B,83,"FinalCount => B:13, W:12"
71,B,84,"FinalCount => B:13, W:12"
72,B,57,"FinalCount => B:13, W:12"
73,W,80,"FinalCount => B:11, W:14"
74,W,55,"FinalCount => B:12, W:13"
75,W,76,"FinalCount => B:12, W:13"
76,W,84,"FinalCount => B:11, W:14"
77,W,55,"FinalCount => B:12, W:13"
78,B,84,"FinalCount => B:13, W:12"
79,B,84,"FinalCount => B:13, W:12"
80,B,83,"FinalCount => B:13, W:12"
81,W,76,"FinalCount => B:12, W:13"
82,W,80,"FinalCount => B:11, W:14"
83,W,84,"FinalCount => B:11, W:14"
84,W,80,"FinalCount => B:12, W:13"
85,W,55,"FinalCount => B:12, W:13"
86,B,89,"FinalCount => B:15, W:10"
87,B,83,"FinalCount => B:15, W:10"
88,B,96,"FinalCount => B:13, W:12"
89,W,80,"FinalCount => B:11, W:14"
90,B,113,"FinalCount => B:17, W:8"
91,W,76,"FinalCount => B:12, W:13"
92,W,55,"FinalCount => B:12, W:13"
93,B,84,"FinalCount => B:13, W:12"
94,W,55,"FinalCount => B:12, W:13"
95,B,89,"FinalCount => B:15, W:10"
96,B,57,"FinalCount => B:13, W:12"
97,W,80,"FinalCount => B:11, W:14"
98,B,113,"FinalCount => B:17, W:8"
99,B,57,"FinalCount => B:13, W:12"
100,B,89,"FinalCount => B:15, W:10"
101,B,84,"FinalCount => B:13, W:12"
102,B,83,"FinalCount => B:15, W:10"
103,B,96,"FinalCount => B:13, W:12"
104,W,55,"FinalCount => B:12, W:13"
105,B,57,"FinalCount => B:13, W:12"
106,W,55,"FinalCount => B:12, W:13"
107,W,84,"FinalCount => B:11, W:14"
108,B,84,"FinalCount => B:15, W:10"
109,B,59,"FinalCount => B:13, W:12"
110,B,84,"FinalCount => B:13, W:12"
111,B,83,"FinalCount => B:15, W:10"
112,B,57,"FinalCount => B:13, W:12"
113,B,84,"FinalCount => B:13, W:12"
114,B,96,"FinalCount => B:13, W:12"
115,B,83,"FinalCount => B:13, W:12"
116,B,80,"FinalCount => B:14, W:11"
117,B,59,"FinalCount => B:13, W:12"
118,W,84,"FinalCount => B:11, W:14"
119,B,84,"FinalCount => B:13, W:12"
120,B,96,"FinalCount => B:13, W:12"
121,B,84,"FinalCount => B:13, W:12"
122,W,55,"FinalCount => B:12, W:13"
123,B,84,"FinalCount => B:13, W:12"
124,B,57,"FinalCount => B:13, W:12"
125,B,83,"FinalCount => B:13, W:12"
126,B,84,"FinalCount => B:13, W:12"
127,W,55,"FinalCount => B:12, W:13"
128,W,84,"FinalCount => B:11, W:14"
129,W,55,"FinalCount => B:12, W:13"
130,B,57,"FinalCount => B:13, W:12"
131,B,83,"FinalCount => B:15, W:10"
132,W,55,"FinalCount => B:12, W:13"
133,B,59,"FinalCount => B:13, W:12"
134,B,84,"FinalCount => B:13, W:12"
135,W,80,"FinalCount => B:12, W:13"
136,B,84,"FinalCount => B:13, W:12"
137,B,57,"FinalCount => B:13, W:12"
138,W,84,"FinalCount => B:11, W:14"
139,W,55,"FinalCount => B:12, W:13"
140,B,80,"FinalCount => B:14, W:11"
141,B,89,"FinalCount => B:15, W:10"
142,W,80,"FinalCount => B:11, W:14"
143,B,89,"FinalCount => B:15, W:10"
144,B,89,"FinalCount => B:15, W:10"
145,B,84,"FinalCount => B:13, W:12"
146,B,84,"FinalCount => B:13, W:12"
147,W,76,"FinalCount => B:12, W:13"
148,B,57,"FinalCount => B:13, W:12"
149,B,89,"FinalCount => B:15, W:10"
150,B,113,"FinalCount => B:17, W:8"
151,B,57,"FinalCount => B:13, W:12"
152,W,55,"FinalCount => B:12, W:13"
153,B,113,"FinalCount => B:17, W:8"
154,B,84,"FinalCount => B:15, W:10"
155,W,55,"FinalCount => B:12, W:13"
156,B,89,"FinalCount => B:15, W:10"
157,W,84,"FinalCount => B:11, W:14"
158,B,96,"FinalCount => B:13, W:12"
159,B,96,"FinalCount => B:13, W:12"
160,W,55,"FinalCount => B:12, W:13"
161,B,84,"FinalCount => B:13, W:12"
162,B,59,"FinalCount => B:13, W:12"
163,W,80,"FinalCount => B:11, W:14"
164,W,55,"FinalCount => B:12, W:13"
165,W,55,"FinalCount => B:12, W:13"
166,B,96,"FinalCount => B:13, W:12"
167,B,84,"FinalCount => B:13, W:12"
168,W,76,"FinalCount => B:12, W:13"
169,W,76,"FinalCount => B:12, W:13"
170,B,89,"FinalCount => B:15, W:10"
171,B,89,"FinalCount => B:15, W:10"
172,W,84,"FinalCount => B:11, W:14"
173,B,89,"FinalCount => B:15, W:10"
174,B,80,"FinalCount => B:14, W:11"
175,B,89,"FinalCount => B:15, W:10"
176,W,76,"FinalCount => B:12, W:13"
177,B,80,"FinalCount => B:14, W:11"
178,B,84,"FinalCount => B:13, W:12"
179,W,55,"FinalCount => B:12, W:13"
180,W,55,"FinalCount => B:12, W:13"
181,B,83,"FinalCount => B:15, W:10"
182,W,55,"FinalCount => B:12, W:13"
183,W,76,"FinalCount => B:12, W:13"
184,B,84,"FinalCount => B:13, W:12"
185,B,84,"FinalCount => B:13, W:12"
186,W,76,"FinalCount => B:12, W:13"
187,B,84,"FinalCount => B:13, W:12"
188,B,57,"FinalCount => B:13, W:12"
189,B,57,"FinalCount => B:13, W:12"
190,B,96,"FinalCount => B:13, W:12"
191,B,59,"FinalCount => B:13, W:12"
192,B,80,"FinalCount => B:14, W:11"
193,W,84,"FinalCount => B:11, W:14"
194,B,84,"FinalCount => B:13, W:12"
195,B,113,"FinalCount => B:17, W:8"
196,B,84,"FinalCount => B:13, W:12"
197,B,84,"FinalCount => B:13, W:12"
198,B,84,"FinalCount => B:13, W:12"
199,B,83,"FinalCount => B:15, W:10"
200,B,80,"FinalCount => B:14, W:11"
201,B,80,"FinalCount => B:14, W:11"
202,W,84,"FinalCount => B:11, W:14"
203,W,76,"FinalCount => B:12, W:13"
204,B,89,"FinalCount => B:15, W:10"
205,B,89,"FinalCount => B:15, W:10"
206,W,84,"FinalCount => B:11, W:14"
207,B,57,"FinalCount => B:13, W:12"
208,W,55,"FinalCount => B:12, W:13"
209,B,83,"FinalCount => B:15, W:10"
210,B,57,"FinalCount => B:13, W:12"
211,B,89,"FinalCount => B:15, W:10"
212,B,83,"FinalCount => B:13, W:12"
213,B,89,"FinalCount => B:15, W:10"
214,W,84,"FinalCount => B:11, W:14"
215,W,80,"FinalCount => B:11, W:14"
216,B,80,"FinalCount => B:14, W:11"
217,W,55,"FinalCount => B:12, W:13"
218,W,84,"FinalCount => B:11, W:14"
219,B,96,"FinalCount => B:13, W:12"
220,B,80,"FinalCount => B:14, W:11"
221,B,59,"FinalCount => B:13, W:12"
222,W,55,"FinalCount => B:12, W:13"
223,W,76,"FinalCount => B:12, W:13"
224,W,84,"FinalCount => B:11, W:14"
225,W,55,"FinalCount => B:12, W:13"
226,B,113,"FinalCount => B:17, W:8"
227,B,57,"FinalCount => B:13, W:12"
228,W,80,"FinalCount => B:11, W:14"
229,W,80,"FinalCount => B:11, W:14"
230,B,96,"FinalCount => B:13, W:12"
231,B,84,"FinalCount => B:13, W:12"
232,W,55,"FinalCount => B:12, W:13"
233,B,89,"FinalCount => B:15, W:10"
234,W,76,"FinalCount => B:12, W:13"
235,W,80,"FinalCount => B:11, W:14"
236,B,80,"FinalCount => B:14, W:11"
237,B,57,"FinalCount => B:13, W:12"
238,B,57,"FinalCount => B:13, W:12"
239,W,55,"FinalCount => B:12, W:13"
240,B,57,"FinalCount => B:13, W:12"
241,W,80,"FinalCount => B:11, W:14"
242,W,80,"FinalCount => B:11, W:14"
243,B,57,"FinalCount => B:13, W:12"
244,B,57,"FinalCount => B:13, W:12"
245,W,84,"FinalCount => B:11, W:14"
246,B,113,"FinalCount => B:17, W:8"
247,W,84,"FinalCount => B:11, W:14"
248,W,55,"FinalCount => B:12, W:13"
249,B,84,"FinalCount => B:15, W:10"
250,B,83,"FinalCount => B:13, W:12"
251,W,80,"FinalCount => B:11, W:14"
252,B,84,"FinalCount => B:13, W:12"
253,W,80,"FinalCount => B:11, W:14"
254,B,57,"FinalCount => B:13, W:12"
255,W,80,"FinalCount => B:11, W:14"
256,W,55,"FinalCount => B:12, W:13"
257,B,84,"FinalCount => B:13, W:12"
258,W,84,"FinalCount => B:11, W:14"
259,W,76,"FinalCount => B:12, W:13"
260,B,96,"FinalCount => B:13, W:12"
261,W,80,"FinalCount => B:12, W:13"
262,B,80,"FinalCount => B:14, W:11"
263,B,57,"FinalCount => B:13, W:12"
264,B,89,"FinalCount => B:15, W:10"
265,B,84,"FinalCount => B:13, W:12"
266,B,57,"FinalCount => B:13, W:12"
267,W,80,"FinalCount => B:12, W:13"
268,W,84,"FinalCount => B:11, W:14"
269,B,84,"FinalCount => B:13, W:12"
270,B,80,"FinalCount => B:14, W:11"
271,B,84,"FinalCount => B:13, W:12"
272,B,57,"FinalCount => B:13, W:12"
273,W,80,"FinalCount => B:11, W:14"
274,W,55,"FinalCount => B:12, W:13"
275,B,84,"FinalCount => B:13, W:12"
276,B,89,"FinalCount => B:15, W:10"
277,B,96,"FinalCount => B:13, W:12"
278,B,89,"FinalCount => B:15, W:10"
279,B,84,"FinalCount => B:13, W:12"
280,B,84,"FinalCount => B:15, W:10"
281,B,83,"FinalCount => B:13, W:12"
282,B,84,"FinalCount => B:13, W:12"
283,W,55,"FinalCount => B:12, W:13"
284,B,84,"FinalCount => B:13, W:12"
285,B,84,"FinalCount => B:13, W:12"
286,W,55,"FinalCount => B:12, W:13"
287,B,83,"FinalCount => B:15, W:10"
288,W,55,"FinalCount => B:12, W:13"
289,W,76,"FinalCount => B:12, W:13"
290,B,80,"FinalCount => B:14, W:11"
291,B,84,"FinalCount => B:15, W:10"
292,B,57,"FinalCount => B:13, W:12"
293,W,55,"FinalCount => B:12, W:13"
294,W,84,"FinalCount => B:11, W:14"
295,B,84,"FinalCount => B:13, W:12"
296,B,84,"FinalCount => B:13, W:12"
