Game,Winner,Moves,FinalScore
1,B,61,"FinalCount => B:14, W:11"
2,B,52,"FinalCount => B:13, W:12"
3,W,63,"FinalCount => B:12, W:13"
4,W,66,"FinalCount => B:12, W:13"
5,B,68,"FinalCount => B:13, W:12"
6,W,66,"FinalCount => B:12, W:13"
7,W,63,"FinalCount => B:12, W:13"
8,B,56,"FinalCount => B:13, W:12"
9,B,59,"FinalCount => B:13, W:12"
10,W,66,"FinalCount => B:12, W:13"
11,W,63,"FinalCount => B:12, W:13"
12,W,62,"FinalCount => B:11, W:14"
13,W,66,"FinalCount => B:12, W:13"
14,B,59,"FinalCount => B:13, W:12"
15,W,66,"FinalCount => B:12, W:13"
16,B,59,"FinalCount => B:13, W:12"
17,B,59,"FinalCount => B:13, W:12"
18,W,63,"FinalCount => B:12, W:13"
19,W,66,"FinalCount => B:12, W:13"
20,B,52,"FinalCount => B:13, W:12"
21,B,68,"FinalCount => B:13, W:12"
22,W,62,"FinalCount => B:11, W:14"
23,W,62,"FinalCount => B:10, W:15"
24,W,62,"FinalCount => B:10, W:15"
25,W,63,"FinalCount => B:12, W:13"
26,B,56,"FinalCount => B:13, W:12"
27,B,59,"FinalCount => B:13, W:12"
28,B,59,"FinalCount => B:13, W:12"
29,B,59,"FinalCount => B:13, W:12"
30,W,63,"FinalCount => B:12, W:13"
31,W,66,"FinalCount => B:12, W:13"
32,W,66,"FinalCount => B:12, W:13"
33,B,61,"FinalCount => B:15, W:10"
34,B,61,"FinalCount => B:15, W:10"
35,B,59,"FinalCount => B:13, W:12"
36,W,63,"FinalCount => B:12, W:13"
37,B,59,"FinalCount => B:13, W:12"
38,W,63,"FinalCount => B:12, W:13"
39,W,62,"FinalCount => B:10, W:15"
40,B,59,"FinalCount => B:13, W:12"
41,B,68,"FinalCount => B:13, W:12"
42,B,68,"FinalCount => B:13, W:12"
43,B,59,"FinalCount => B:13, W:12"
44,B,59,"FinalCount => B:13, W:12"
45,W,66,"FinalCount => B:12, W:13"
46,B,59,"FinalCount => B:15, W:10"
47,B,59,"FinalCount => B:13, W:12"
48,B,59,"FinalCount => B:13, W:12"
49,W,66,"FinalCount => B:12, W:13"
50,W,63,"FinalCount => B:12, W:13"
51,W,63,"FinalCount => B:12, W:13"
52,B,61,"FinalCount => B:14, W:11"
