Game,Winner,Moves,FinalScore
1,B,49,"FinalCount => B:14, W:11"
2,B,65,"FinalCount => B:16, W:9"
3,B,65,"FinalCount => B:15, W:10"
4,B,66,"FinalCount => B:15, W:10"
5,B,65,"FinalCount => B:15, W:10"
6,B,55,"FinalCount => B:13, W:12"
7,W,60,"FinalCount => B:12, W:13"
8,B,66,"FinalCount => B:15, W:10"
9,W,50,"FinalCount => B:12, W:13"
10,B,49,"FinalCount => B:14, W:11"
11,B,65,"FinalCount => B:15, W:10"
12,B,51,"FinalCount => B:13, W:12"
13,W,60,"FinalCount => B:12, W:13"
14,B,49,"FinalCount => B:14, W:11"
15,B,49,"FinalCount => B:14, W:11"
16,B,56,"FinalCount => B:14, W:11"
17,B,49,"FinalCount => B:14, W:11"
18,B,65,"FinalCount => B:15, W:10"
19,B,71,"FinalCount => B:15, W:10"
20,B,56,"FinalCount => B:14, W:11"
21,B,49,"FinalCount => B:14, W:11"
22,W,60,"FinalCount => B:12, W:13"
23,B,51,"FinalCount => B:13, W:12"
24,B,65,"FinalCount => B:15, W:10"
25,B,66,"FinalCount => B:15, W:10"
26,B,66,"FinalCount => B:15, W:10"
27,W,60,"FinalCount => B:12, W:13"
28,B,65,"FinalCount => B:16, W:9"
29,B,55,"FinalCount => B:13, W:12"
30,W,60,"FinalCount => B:12, W:13"
31,W,60,"FinalCount => B:12, W:13"
32,B,66,"FinalCount => B:15, W:10"
33,B,65,"FinalCount => B:16, W:9"
34,W,60,"FinalCount => B:12, W:13"
35,W,60,"FinalCount => B:12, W:13"
36,B,57,"FinalCount => B:13, W:12"
37,B,65,"FinalCount => B:15, W:10"
38,B,68,"FinalCount => B:13, W:12"
39,B,65,"FinalCount => B:16, W:9"
40,B,51,"FinalCount => B:13, W:12"
41,B,66,"FinalCount => B:15, W:10"
42,W,50,"FinalCount => B:12, W:13"
43,W,60,"FinalCount => B:12, W:13"
44,B,65,"FinalCount => B:15, W:10"
45,B,71,"FinalCount => B:15, W:10"
46,B,55,"FinalCount => B:13, W:12"
47,B,55,"FinalCount => B:13, W:12"
48,B,65,"FinalCount => B:15, W:10"
49,W,65,"FinalCount => B:9, W:16"
