Game,Winner,Moves,FinalScore
1,B,107,"FinalCount => B:14, W:11"
2,B,107,"FinalCount => B:14, W:11"
3,B,107,"FinalCount => B:14, W:11"
4,B,107,"FinalCount => B:14, W:11"
5,B,107,"FinalCount => B:14, W:11"
6,B,107,"FinalCount => B:14, W:11"
7,B,107,"FinalCount => B:14, W:11"
8,B,107,"FinalCount => B:14, W:11"
9,B,107,"FinalCount => B:14, W:11"
10,B,107,"FinalCount => B:14, W:11"
11,B,107,"FinalCount => B:14, W:11"
12,B,107,"FinalCount => B:14, W:11"
13,B,107,"FinalCount => B:14, W:11"
14,B,107,"FinalCount => B:14, W:11"
15,B,107,"FinalCount => B:14, W:11"
16,B,107,"FinalCount => B:14, W:11"
17,B,107,"FinalCount => B:14, W:11"
18,B,107,"FinalCount => B:14, W:11"
19,B,107,"FinalCount => B:14, W:11"
20,B,107,"FinalCount => B:14, W:11"
