Game,Winner,Moves,FinalScore
1,B,126,"FinalCount => B:13, W:12"
2,B,111,"FinalCount => B:14, W:11"
3,B,112,"FinalCount => B:13, W:12"
4,B,102,"FinalCount => B:12, W:11"
5,W,124,"FinalCount => B:12, W:13"
6,B,111,"FinalCount => B:14, W:11"
7,W,111,"FinalCount => B:12, W:13"
8,B,94,"FinalCount => B:14, W:10"
9,W,120,"FinalCount => B:10, W:14"
10,B,102,"FinalCount => B:14, W:7"
11,B,111,"FinalCount => B:14, W:11"
12,W,120,"FinalCount => B:10, W:14"
13,W,104,"FinalCount => B:10, W:12"
14,W,98,"FinalCount => B:10, W:11"
15,B,108,"FinalCount => B:13, W:10"
16,B,102,"FinalCount => B:12, W:11"
17,B,126,"FinalCount => B:13, W:12"
18,B,84,"FinalCount => B:12, W:7"
19,B,102,"FinalCount => B:12, W:11"
20,B,94,"FinalCount => B:14, W:10"
21,B,80,"FinalCount => B:13, W:8"
22,W,124,"FinalCount => B:12, W:12"
23,B,111,"FinalCount => B:14, W:11"
24,B,94,"FinalCount => B:14, W:10"
25,B,76,"FinalCount => B:12, W:8"
26,B,111,"FinalCount => B:14, W:11"
27,W,122,"FinalCount => B:12, W:13"
28,B,94,"FinalCount => B:14, W:10"
29,B,94,"FinalCount => B:14, W:10"
30,B,94,"FinalCount => B:14, W:10"
31,B,122,"FinalCount => B:13, W:12"
32,B,94,"FinalCount => B:14, W:10"
33,W,122,"FinalCount => B:12, W:13"
34,W,106,"FinalCount => B:12, W:12"
35,B,102,"FinalCount => B:12, W:11"
36,B,102,"FinalCount => B:12, W:11"
37,B,111,"FinalCount => B:14, W:11"
38,B,68,"FinalCount => B:11, W:6"
39,B,72,"FinalCount => B:12, W:6"
40,B,94,"FinalCount => B:14, W:10"
41,B,94,"FinalCount => B:14, W:10"
42,B,111,"FinalCount => B:14, W:11"
43,B,94,"FinalCount => B:14, W:10"
44,B,111,"FinalCount => B:14, W:11"
45,B,111,"FinalCount => B:14, W:11"
46,W,100,"FinalCount => B:11, W:14"
47,B,102,"FinalCount => B:12, W:11"
48,W,106,"FinalCount => B:11, W:12"
49,B,106,"FinalCount => B:14, W:11"
50,B,114,"FinalCount => B:13, W:12"
51,B,118,"FinalCount => B:13, W:12"
52,W,104,"FinalCount => B:8, W:14"
53,W,120,"FinalCount => B:10, W:14"
54,B,94,"FinalCount => B:14, W:10"
55,B,94,"FinalCount => B:14, W:10"
56,B,94,"FinalCount => B:14, W:10"
57,W,104,"FinalCount => B:10, W:12"
58,W,98,"FinalCount => B:10, W:11"
59,W,120,"FinalCount => B:10, W:14"
60,B,94,"FinalCount => B:14, W:10"
61,B,111,"FinalCount => B:14, W:11"
62,W,110,"FinalCount => B:11, W:13"
63,B,109,"FinalCount => B:13, W:12"
64,B,94,"FinalCount => B:14, W:10"
65,B,102,"FinalCount => B:12, W:11"
66,B,102,"FinalCount => B:12, W:11"
67,W,106,"FinalCount => B:12, W:12"
68,B,122,"FinalCount => B:13, W:12"
69,W,110,"FinalCount => B:11, W:13"
70,W,120,"FinalCount => B:10, W:14"
71,W,120,"FinalCount => B:10, W:14"
72,W,110,"FinalCount => B:11, W:13"
73,W,117,"FinalCount => B:10, W:15"
74,B,94,"FinalCount => B:14, W:10"
75,W,120,"FinalCount => B:10, W:14"
76,B,94,"FinalCount => B:14, W:10"
77,W,112,"FinalCount => B:11, W:11"
78,B,102,"FinalCount => B:12, W:11"
79,B,94,"FinalCount => B:14, W:10"
80,B,126,"FinalCount => B:13, W:12"
81,W,100,"FinalCount => B:12, W:12"
82,B,116,"FinalCount => B:13, W:12"
83,B,102,"FinalCount => B:12, W:11"
