Game,Winner,Moves,FinalScore
1,B,100,"FinalCount => B:14, W:11"
2,B,104,"FinalCount => B:15, W:10"
3,B,95,"FinalCount => B:15, W:10"
4,W,98,"FinalCount => B:11, W:14"
5,W,90,"FinalCount => B:11, W:12"
6,W,107,"FinalCount => B:10, W:15"
7,B,68,"FinalCount => B:12, W:11"
8,W,100,"FinalCount => B:11, W:14"
9,W,93,"FinalCount => B:12, W:13"
10,B,84,"FinalCount => B:14, W:10"
11,B,81,"FinalCount => B:15, W:10"
12,W,80,"FinalCount => B:12, W:13"
13,B,102,"FinalCount => B:14, W:11"
14,W,93,"FinalCount => B:12, W:13"
15,W,112,"FinalCount => B:10, W:15"
16,B,91,"FinalCount => B:13, W:12"
17,W,112,"FinalCount => B:12, W:13"
18,B,88,"FinalCount => B:14, W:10"
19,W,110,"FinalCount => B:11, W:13"
20,W,98,"FinalCount => B:8, W:16"
21,W,97,"FinalCount => B:12, W:13"
22,W,117,"FinalCount => B:12, W:13"
23,W,88,"FinalCount => B:12, W:12"
24,W,106,"FinalCount => B:11, W:14"
25,W,108,"FinalCount => B:11, W:13"
26,B,98,"FinalCount => B:16, W:8"
27,B,100,"FinalCount => B:15, W:10"
28,W,110,"FinalCount => B:11, W:14"
29,B,100,"FinalCount => B:13, W:12"
30,B,112,"FinalCount => B:14, W:11"
31,W,116,"FinalCount => B:12, W:13"
