Game,Winner,Moves,FinalScore
1,B,59,"FinalCount => B:14, W:11"
2,B,91,"FinalCount => B:17, W:8"
3,W,56,"FinalCount => B:12, W:13"
4,W,56,"FinalCount => B:12, W:13"
5,B,67,"FinalCount => B:15, W:10"
6,B,90,"FinalCount => B:15, W:10"
7,W,107,"FinalCount => B:12, W:13"
8,W,56,"FinalCount => B:12, W:13"
9,B,59,"FinalCount => B:14, W:11"
10,B,66,"FinalCount => B:15, W:10"
11,W,56,"FinalCount => B:12, W:13"
12,B,90,"FinalCount => B:17, W:8"
13,B,59,"FinalCount => B:14, W:11"
14,W,96,"FinalCount => B:12, W:13"
15,B,91,"FinalCount => B:17, W:8"
16,B,73,"FinalCount => B:15, W:10"
17,W,107,"FinalCount => B:12, W:13"
18,W,56,"FinalCount => B:12, W:13"
19,B,71,"FinalCount => B:14, W:11"
20,W,56,"FinalCount => B:12, W:13"
21,B,70,"FinalCount => B:16, W:9"
22,B,70,"FinalCount => B:16, W:9"
23,B,68,"FinalCount => B:14, W:11"
24,B,71,"FinalCount => B:14, W:11"
25,B,71,"FinalCount => B:14, W:11"
26,W,56,"FinalCount => B:12, W:13"
27,W,56,"FinalCount => B:12, W:13"
28,W,56,"FinalCount => B:12, W:13"
29,W,56,"FinalCount => B:12, W:13"
30,B,71,"FinalCount => B:14, W:11"
31,W,56,"FinalCount => B:12, W:13"
32,B,76,"FinalCount => B:16, W:9"
33,B,59,"FinalCount => B:14, W:11"
34,W,56,"FinalCount => B:12, W:13"
35,W,96,"FinalCount => B:12, W:13"
36,B,70,"FinalCount => B:16, W:9"
37,W,96,"FinalCount => B:12, W:13"
38,B,59,"FinalCount => B:14, W:11"
39,W,56,"FinalCount => B:12, W:13"
40,B,76,"FinalCount => B:16, W:9"
41,B,59,"FinalCount => B:14, W:11"
42,B,59,"FinalCount => B:14, W:11"
43,B,73,"FinalCount => B:15, W:10"
44,W,107,"FinalCount => B:12, W:13"
45,B,90,"FinalCount => B:17, W:8"
46,B,59,"FinalCount => B:14, W:11"
47,B,59,"FinalCount => B:14, W:11"
48,B,80,"FinalCount => B:14, W:11"
49,B,90,"FinalCount => B:15, W:10"
50,B,90,"FinalCount => B:17, W:8"
51,W,96,"FinalCount => B:12, W:13"
52,B,70,"FinalCount => B:16, W:9"
53,B,70,"FinalCount => B:16, W:9"
54,W,56,"FinalCount => B:12, W:13"
55,B,90,"FinalCount => B:16, W:9"
56,B,90,"FinalCount => B:17, W:8"
57,B,71,"FinalCount => B:14, W:11"
58,B,70,"FinalCount => B:16, W:9"
59,B,67,"FinalCount => B:15, W:10"
60,B,73,"FinalCount => B:15, W:10"
61,B,70,"FinalCount => B:16, W:9"
62,B,66,"FinalCount => B:15, W:10"
63,B,71,"FinalCount => B:14, W:11"
64,B,59,"FinalCount => B:14, W:11"
65,B,90,"FinalCount => B:15, W:10"
66,W,56,"FinalCount => B:12, W:13"
67,W,96,"FinalCount => B:12, W:13"
68,B,68,"FinalCount => B:14, W:11"
69,W,96,"FinalCount => B:12, W:13"
70,B,71,"FinalCount => B:14, W:11"
71,B,71,"FinalCount => B:14, W:11"
72,B,90,"FinalCount => B:15, W:10"
73,B,73,"FinalCount => B:15, W:10"
74,B,59,"FinalCount => B:14, W:11"
75,W,96,"FinalCount => B:12, W:13"
76,B,66,"FinalCount => B:15, W:10"
77,W,56,"FinalCount => B:12, W:13"
78,W,56,"FinalCount => B:12, W:13"
79,W,96,"FinalCount => B:12, W:13"
80,W,107,"FinalCount => B:12, W:13"
81,B,68,"FinalCount => B:14, W:11"
82,B,90,"FinalCount => B:16, W:9"
83,B,70,"FinalCount => B:16, W:9"
84,B,91,"FinalCount => B:17, W:8"
85,W,56,"FinalCount => B:12, W:13"
86,B,70,"FinalCount => B:16, W:9"
87,W,56,"FinalCount => B:12, W:13"
88,B,90,"FinalCount => B:17, W:8"
89,B,91,"FinalCount => B:17, W:8"
90,W,56,"FinalCount => B:12, W:13"
91,B,59,"FinalCount => B:14, W:11"
92,B,59,"FinalCount => B:14, W:11"
93,B,68,"FinalCount => B:14, W:11"
94,W,96,"FinalCount => B:12, W:13"
95,B,90,"FinalCount => B:17, W:8"
96,B,73,"FinalCount => B:15, W:10"
97,B,68,"FinalCount => B:14, W:11"
98,B,71,"FinalCount => B:14, W:11"
99,W,56,"FinalCount => B:12, W:13"
100,W,56,"FinalCount => B:12, W:13"
