Game,Winner,Moves,FinalScore
1,W,78,"FinalCount => B:11, W:14"
2,W,61,"FinalCount => B:10, W:15"
3,B,80,"FinalCount => B:15, W:10"
4,W,72,"FinalCount => B:12, W:13"
5,W,70,"FinalCount => B:10, W:15"
6,W,76,"FinalCount => B:10, W:15"
7,W,72,"FinalCount => B:9, W:16"
8,B,96,"FinalCount => B:13, W:12"
9,W,79,"FinalCount => B:10, W:15"
10,W,96,"FinalCount => B:10, W:15"
11,W,80,"FinalCount => B:9, W:16"
12,W,78,"FinalCount => B:9, W:16"
13,W,70,"FinalCount => B:10, W:15"
14,W,90,"FinalCount => B:12, W:13"
15,W,91,"FinalCount => B:10, W:15"
16,W,67,"FinalCount => B:10, W:15"
17,W,100,"FinalCount => B:11, W:14"
18,W,73,"FinalCount => B:10, W:15"
19,B,85,"FinalCount => B:14, W:11"
20,W,110,"FinalCount => B:10, W:15"
21,W,83,"FinalCount => B:11, W:14"
22,W,80,"FinalCount => B:9, W:16"
23,B,123,"FinalCount => B:14, W:11"
24,W,66,"FinalCount => B:9, W:16"
25,W,89,"FinalCount => B:9, W:16"
26,W,95,"FinalCount => B:9, W:16"
27,W,74,"FinalCount => B:9, W:16"
28,B,117,"FinalCount => B:14, W:11"
29,B,117,"FinalCount => B:16, W:9"
30,W,83,"FinalCount => B:11, W:14"
31,B,89,"FinalCount => B:13, W:12"
32,W,41,"FinalCount => B:12, W:13"
33,W,80,"FinalCount => B:9, W:16"
34,W,76,"FinalCount => B:10, W:15"
35,B,85,"FinalCount => B:14, W:11"
36,W,80,"FinalCount => B:10, W:15"
37,B,114,"FinalCount => B:13, W:12"
38,W,83,"FinalCount => B:11, W:14"
39,B,65,"FinalCount => B:13, W:12"
40,W,67,"FinalCount => B:8, W:17"
41,B,79,"FinalCount => B:13, W:12"
42,W,71,"FinalCount => B:10, W:15"
43,W,91,"FinalCount => B:12, W:13"
44,W,72,"FinalCount => B:10, W:15"
45,W,70,"FinalCount => B:10, W:15"
46,W,88,"FinalCount => B:10, W:15"
47,W,103,"FinalCount => B:9, W:16"
48,W,104,"FinalCount => B:9, W:16"
49,W,106,"FinalCount => B:12, W:13"
50,B,79,"FinalCount => B:13, W:12"
51,B,104,"FinalCount => B:13, W:12"
52,W,69,"FinalCount => B:10, W:15"
53,W,94,"FinalCount => B:11, W:14"
54,W,79,"FinalCount => B:10, W:15"
55,W,91,"FinalCount => B:9, W:16"
56,W,41,"FinalCount => B:12, W:13"
57,W,70,"FinalCount => B:9, W:16"
58,B,79,"FinalCount => B:13, W:12"
59,B,106,"FinalCount => B:14, W:11"
60,W,91,"FinalCount => B:10, W:15"
61,B,79,"FinalCount => B:13, W:12"
62,W,71,"FinalCount => B:7, W:18"
63,W,70,"FinalCount => B:11, W:14"
64,B,106,"FinalCount => B:14, W:11"
65,W,72,"FinalCount => B:11, W:14"
66,W,66,"FinalCount => B:10, W:15"
67,W,78,"FinalCount => B:9, W:16"
68,B,88,"FinalCount => B:13, W:12"
69,W,70,"FinalCount => B:10, W:15"
70,W,76,"FinalCount => B:11, W:14"
71,W,85,"FinalCount => B:12, W:13"
72,W,91,"FinalCount => B:10, W:15"
73,W,57,"FinalCount => B:10, W:15"
74,W,81,"FinalCount => B:12, W:13"
75,B,79,"FinalCount => B:13, W:12"
76,B,85,"FinalCount => B:13, W:12"
77,B,80,"FinalCount => B:15, W:10"
78,W,71,"FinalCount => B:10, W:15"
79,B,101,"FinalCount => B:13, W:12"
80,W,44,"FinalCount => B:11, W:14"
81,W,81,"FinalCount => B:10, W:15"
82,B,79,"FinalCount => B:13, W:12"
83,B,80,"FinalCount => B:13, W:12"
84,W,62,"FinalCount => B:9, W:16"
85,B,80,"FinalCount => B:15, W:10"
86,W,64,"FinalCount => B:10, W:15"
87,W,129,"FinalCount => B:12, W:13"
88,B,88,"FinalCount => B:13, W:12"
89,W,41,"FinalCount => B:12, W:13"
90,W,69,"FinalCount => B:10, W:15"
91,W,73,"FinalCount => B:8, W:17"
92,W,83,"FinalCount => B:9, W:16"
93,W,87,"FinalCount => B:8, W:17"
94,W,41,"FinalCount => B:12, W:13"
95,W,87,"FinalCount => B:12, W:13"
96,W,79,"FinalCount => B:10, W:15"
97,B,111,"FinalCount => B:14, W:11"
98,W,85,"FinalCount => B:10, W:15"
99,B,49,"FinalCount => B:14, W:11"
100,W,70,"FinalCount => B:10, W:15"
101,W,80,"FinalCount => B:11, W:14"
102,W,41,"FinalCount => B:12, W:13"
103,W,79,"FinalCount => B:10, W:15"
104,W,62,"FinalCount => B:10, W:15"
105,W,83,"FinalCount => B:11, W:14"
106,W,97,"FinalCount => B:9, W:16"
107,B,117,"FinalCount => B:14, W:11"
108,W,69,"FinalCount => B:10, W:15"
109,W,83,"FinalCount => B:9, W:16"
110,B,85,"FinalCount => B:14, W:11"
111,B,108,"FinalCount => B:13, W:12"
112,W,61,"FinalCount => B:9, W:16"
113,W,76,"FinalCount => B:9, W:16"
114,W,79,"FinalCount => B:10, W:15"
115,W,79,"FinalCount => B:10, W:15"
116,W,96,"FinalCount => B:10, W:15"
117,W,80,"FinalCount => B:9, W:16"
118,B,84,"FinalCount => B:13, W:12"
119,W,100,"FinalCount => B:11, W:14"
120,W,96,"FinalCount => B:10, W:15"
121,B,129,"FinalCount => B:14, W:11"
122,W,88,"FinalCount => B:10, W:15"
123,B,104,"FinalCount => B:13, W:12"
124,W,62,"FinalCount => B:10, W:15"
125,W,63,"FinalCount => B:10, W:15"
126,W,83,"FinalCount => B:11, W:14"
127,W,71,"FinalCount => B:12, W:13"
128,B,85,"FinalCount => B:14, W:11"
129,B,104,"FinalCount => B:13, W:12"
130,W,58,"FinalCount => B:9, W:16"
131,B,79,"FinalCount => B:13, W:12"
132,W,83,"FinalCount => B:11, W:14"
133,B,80,"FinalCount => B:15, W:10"
134,W,68,"FinalCount => B:11, W:14"
135,W,77,"FinalCount => B:11, W:14"
136,B,88,"FinalCount => B:13, W:12"
137,W,67,"FinalCount => B:11, W:14"
138,W,81,"FinalCount => B:9, W:16"
139,W,90,"FinalCount => B:11, W:14"
140,B,83,"FinalCount => B:13, W:12"
141,B,85,"FinalCount => B:14, W:11"
142,W,72,"FinalCount => B:11, W:14"
143,W,81,"FinalCount => B:9, W:16"
144,W,96,"FinalCount => B:10, W:15"
145,W,81,"FinalCount => B:9, W:16"
146,W,70,"FinalCount => B:9, W:16"
147,W,85,"FinalCount => B:12, W:13"
148,B,64,"FinalCount => B:13, W:12"
149,W,69,"FinalCount => B:11, W:14"
150,W,87,"FinalCount => B:12, W:13"
151,W,83,"FinalCount => B:8, W:17"
152,B,79,"FinalCount => B:13, W:12"
153,W,80,"FinalCount => B:11, W:14"
154,W,63,"FinalCount => B:10, W:15"
155,W,52,"FinalCount => B:11, W:14"
156,W,100,"FinalCount => B:11, W:14"
157,W,91,"FinalCount => B:10, W:15"
158,W,72,"FinalCount => B:9, W:16"
159,W,79,"FinalCount => B:10, W:15"
160,W,78,"FinalCount => B:8, W:17"
161,B,79,"FinalCount => B:13, W:12"
162,B,49,"FinalCount => B:14, W:11"
163,W,79,"FinalCount => B:7, W:18"
164,W,83,"FinalCount => B:11, W:14"
165,W,80,"FinalCount => B:9, W:16"
166,W,46,"FinalCount => B:11, W:14"
167,B,79,"FinalCount => B:13, W:12"
168,B,108,"FinalCount => B:13, W:12"
169,W,96,"FinalCount => B:10, W:15"
170,B,111,"FinalCount => B:14, W:11"
171,W,77,"FinalCount => B:9, W:16"
172,W,91,"FinalCount => B:10, W:15"
173,B,77,"FinalCount => B:13, W:12"
174,B,85,"FinalCount => B:13, W:12"
175,W,73,"FinalCount => B:11, W:14"
176,W,89,"FinalCount => B:11, W:14"
177,W,67,"FinalCount => B:11, W:14"
178,W,122,"FinalCount => B:12, W:13"
179,W,97,"FinalCount => B:10, W:15"
180,W,41,"FinalCount => B:12, W:13"
181,W,62,"FinalCount => B:12, W:13"
182,W,79,"FinalCount => B:10, W:15"
183,B,88,"FinalCount => B:13, W:12"
184,B,101,"FinalCount => B:13, W:12"
185,B,117,"FinalCount => B:14, W:11"
186,W,76,"FinalCount => B:11, W:14"
187,W,64,"FinalCount => B:10, W:15"
188,W,76,"FinalCount => B:9, W:16"
189,W,70,"FinalCount => B:9, W:16"
190,W,88,"FinalCount => B:8, W:17"
191,W,87,"FinalCount => B:12, W:13"
192,W,46,"FinalCount => B:11, W:14"
193,W,80,"FinalCount => B:9, W:16"
194,B,88,"FinalCount => B:13, W:12"
195,W,81,"FinalCount => B:11, W:14"
196,W,63,"FinalCount => B:10, W:15"
197,W,70,"FinalCount => B:9, W:16"
198,W,59,"FinalCount => B:12, W:13"
199,W,76,"FinalCount => B:9, W:16"
200,W,88,"FinalCount => B:10, W:15"
201,B,75,"FinalCount => B:13, W:12"
202,B,122,"FinalCount => B:15, W:10"
203,W,90,"FinalCount => B:7, W:18"
204,W,76,"FinalCount => B:9, W:16"
205,W,70,"FinalCount => B:8, W:17"
206,W,70,"FinalCount => B:8, W:17"
207,W,62,"FinalCount => B:9, W:16"
208,W,67,"FinalCount => B:10, W:15"
209,W,79,"FinalCount => B:10, W:15"
210,W,72,"FinalCount => B:12, W:13"
211,B,85,"FinalCount => B:13, W:12"
212,W,46,"FinalCount => B:12, W:13"
213,W,63,"FinalCount => B:11, W:14"
214,B,64,"FinalCount => B:13, W:12"
215,W,91,"FinalCount => B:12, W:13"
216,W,68,"FinalCount => B:11, W:14"
217,W,96,"FinalCount => B:8, W:17"
218,B,88,"FinalCount => B:13, W:12"
219,W,95,"FinalCount => B:12, W:13"
220,W,78,"FinalCount => B:10, W:15"
221,W,75,"FinalCount => B:11, W:14"
222,B,110,"FinalCount => B:14, W:11"
223,B,51,"FinalCount => B:14, W:11"
224,W,68,"FinalCount => B:11, W:14"
225,W,100,"FinalCount => B:11, W:14"
226,W,85,"FinalCount => B:9, W:16"
227,B,76,"FinalCount => B:13, W:12"
228,W,83,"FinalCount => B:12, W:13"
229,W,128,"FinalCount => B:11, W:14"
230,B,88,"FinalCount => B:13, W:12"
231,W,83,"FinalCount => B:11, W:14"
232,B,49,"FinalCount => B:14, W:11"
233,W,74,"FinalCount => B:10, W:15"
234,W,70,"FinalCount => B:9, W:16"
