config_id,wins,six_bonus,low_capture_opportunity_bonus,center_bonus_weight,exposure_penalty_weight,opponent_response_penalty_weight
Config_0,0,10,0,1.0,0.2,0.5
Config_1,0,10,0,1.0,0.2,0.8
Config_2,0,10,0,1.0,0.2,1.0
Config_3,0,10,0,1.0,0.4,0.5
Config_4,0,10,0,1.0,0.4,0.8
Config_5,0,10,0,1.0,0.4,1.0
Config_6,0,10,0,1.5,0.2,0.5
Config_7,0,10,0,1.5,0.2,0.8
Config_8,0,10,0,1.5,0.2,1.0
Config_9,0,10,0,1.5,0.4,0.5
Config_10,0,10,0,1.5,0.4,0.8
Config_11,0,10,0,1.5,0.4,1.0
Config_12,0,10,0,2.0,0.2,0.5
Config_13,0,10,0,2.0,0.2,0.8
Config_14,0,10,0,2.0,0.2,1.0
Config_15,0,10,0,2.0,0.4,0.5
Config_16,0,10,0,2.0,0.4,0.8
Config_17,0,10,0,2.0,0.4,1.0
Config_18,0,10,2,1.0,0.2,0.5
Config_19,0,10,2,1.0,0.2,0.8
Config_20,0,10,2,1.0,0.2,1.0
Config_21,0,10,2,1.0,0.4,0.5
Config_22,0,10,2,1.0,0.4,0.8
Config_23,0,10,2,1.0,0.4,1.0
Config_24,0,10,2,1.5,0.2,0.5
Config_25,0,10,2,1.5,0.2,0.8
Config_26,0,10,2,1.5,0.2,1.0
Config_27,0,10,2,1.5,0.4,0.5
Config_28,0,10,2,1.5,0.4,0.8
Config_29,0,10,2,1.5,0.4,1.0
Config_30,0,10,2,2.0,0.2,0.5
Config_31,0,10,2,2.0,0.2,0.8
Config_32,0,10,2,2.0,0.2,1.0
Config_33,0,10,2,2.0,0.4,0.5
Config_34,0,10,2,2.0,0.4,0.8
Config_35,0,10,2,2.0,0.4,1.0
Config_36,0,10,4,1.0,0.2,0.5
Config_37,0,10,4,1.0,0.2,0.8
Config_38,0,10,4,1.0,0.2,1.0
Config_39,0,10,4,1.0,0.4,0.5
Config_40,0,10,4,1.0,0.4,0.8
Config_41,0,10,4,1.0,0.4,1.0
Config_42,0,10,4,1.5,0.2,0.5
Config_43,0,10,4,1.5,0.2,0.8
Config_44,0,10,4,1.5,0.2,1.0
Config_45,0,10,4,1.5,0.4,0.5
Config_46,0,10,4,1.5,0.4,0.8
Config_47,0,10,4,1.5,0.4,1.0
Config_48,0,10,4,2.0,0.2,0.5
Config_49,0,10,4,2.0,0.2,0.8
Config_50,0,10,4,2.0,0.2,1.0
Config_51,0,10,4,2.0,0.4,0.5
Config_52,0,10,4,2.0,0.4,0.8
Config_53,0,10,4,2.0,0.4,1.0
Config_54,0,15,0,1.0,0.2,0.5
Config_55,0,15,0,1.0,0.2,0.8
Config_56,0,15,0,1.0,0.2,1.0
Config_57,0,15,0,1.0,0.4,0.5
Config_58,0,15,0,1.0,0.4,0.8
Config_59,0,15,0,1.0,0.4,1.0
Config_60,0,15,0,1.5,0.2,0.5
Config_61,0,15,0,1.5,0.2,0.8
Config_62,0,15,0,1.5,0.2,1.0
Config_63,0,15,0,1.5,0.4,0.5
Config_64,0,15,0,1.5,0.4,0.8
Config_65,0,15,0,1.5,0.4,1.0
Config_66,0,15,0,2.0,0.2,0.5
Config_67,0,15,0,2.0,0.2,0.8
Config_68,0,15,0,2.0,0.2,1.0
Config_69,0,15,0,2.0,0.4,0.5
Config_70,0,15,0,2.0,0.4,0.8
Config_71,0,15,0,2.0,0.4,1.0
Config_72,0,15,2,1.0,0.2,0.5
Config_73,0,15,2,1.0,0.2,0.8
Config_74,0,15,2,1.0,0.2,1.0
Config_75,0,15,2,1.0,0.4,0.5
Config_76,0,15,2,1.0,0.4,0.8
Config_77,0,15,2,1.0,0.4,1.0
Config_78,0,15,2,1.5,0.2,0.5
Config_79,0,15,2,1.5,0.2,0.8
